image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
1937013	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17576+1362771298.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149689|5149594	http://trace.boldsystems.org/traceIO/bold.org/6996291|http://trace.boldsystems.org/traceIO/bold.org/6996196	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1937014	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17577+1362771478.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149690|5149595	http://trace.boldsystems.org/traceIO/bold.org/6996292|http://trace.boldsystems.org/traceIO/bold.org/6996197	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1937015	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17578+1362771510.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149691|5149596	http://trace.boldsystems.org/traceIO/bold.org/6996293|http://trace.boldsystems.org/traceIO/bold.org/6996198	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1937016	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17579+1362771548.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149692|5149597	http://trace.boldsystems.org/traceIO/bold.org/6996294|http://trace.boldsystems.org/traceIO/bold.org/6996199	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1937017	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17580+1362771584.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149693|5149598	http://trace.boldsystems.org/traceIO/bold.org/6996295|http://trace.boldsystems.org/traceIO/bold.org/6996200	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1825776	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_13271+1338925798.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike							
1825777	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_13272+1338925868.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4815604|4815552	http://trace.boldsystems.org/traceIO/bold.org/6662866|http://trace.boldsystems.org/traceIO/bold.org/6662814	2013-01-18 10:53:24|2013-01-18 09:13:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1825778	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_13273+1338925956.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4815605|4815554	http://trace.boldsystems.org/traceIO/bold.org/6662867|http://trace.boldsystems.org/traceIO/bold.org/6662816	2013-01-18 10:53:24|2013-01-18 09:13:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1825779	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_13274+1338926048.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4815606|4815556	http://trace.boldsystems.org/traceIO/bold.org/6662868|http://trace.boldsystems.org/traceIO/bold.org/6662818	2013-01-18 10:53:24|2013-01-18 09:13:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
									
									
