processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BBLSW041-09	09BBLEP-00969	1214837	 	TX090524-06	Centre for Biodiversity Genomics	BOLD:AAH4814	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2163	Pyraustinae	7532	Pyrausta	287900	Pyrausta pseudonythesalis	 	 	 	 	 	K.Perez, S.McCubbin, J.Cossey, A.Borisenko	2009-05-24	A	 	S	 	mercury vapour	30.7743	-101.919	 	 	United States	Texas	Pecos Co.	farmland	552361	http://v3.boldsystems.org/pics/BBLSW/IMG_7399+1252420120.JPG	CreativeCommons - Attribution	1623832|1623737	http://trace.boldsystems.org/traceIO/bold.org/1352050|http://trace.boldsystems.org/traceIO/bold.org/1351955	2009-10-01 03:36:17|2009-10-01 02:10:11	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPBD251-07	07-SRNP-100250	622767	 	07-SRNP-100250	Area de Conservacion Guanacaste	BOLD:AAA9499	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	4316	Herminiinae	7054	Renia	658728	Renia bipunctalis	 	 	Daniel H. Janzen	 	 	R.Franco, F.Quesada	2007-02-11	A	 	S	light trap	light trap	10.989	-85.426	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Estacion Pitilla	225361	http://v3.boldsystems.org/pics/BLPBD/07-SRNP-100250_DHJ610214+1173204598.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	750901|750995	http://trace.boldsystems.org/traceIO/bold.org/539886|http://trace.boldsystems.org/traceIO/bold.org/539980	2007-09-06 01:51:53|2007-09-06 03:22:36	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKC093-09	UKLB23C01	1008901	 	GAC 0377	Natural History Museum, London	BOLD:AAB6531	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2163	Pyraustinae	7532	Pyrausta	197911	Pyrausta purpuralis	 	 	 	 	 	GAC 0377	2007-07-30	A	 	 	 	 	51.23	-0.41	 	 	United Kingdom	England	Surrey	White Downs	416709	http://v3.boldsystems.org/pics/CGUKC/IMG_1067+1238514632.JPG	CreativeCommons - Attribution	1303591|1303497	http://trace.boldsystems.org/traceIO/bold.org/1051369|http://trace.boldsystems.org/traceIO/bold.org/1051275	2009-03-24 02:04:13|2009-03-24 00:33:04	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKD770-09	UKLB41A07	1070520	 	RJH1361	Natural History Museum, London	BOLD:AAB6530	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2163	Pyraustinae	7532	Pyrausta	183398	Pyrausta aurata	 	 	 	 	 	 	2008-07-01	A	 	S	 	 	50.381	-4.071	 	 	United Kingdom	England	 	 	422442	http://v3.boldsystems.org/pics/CGUKD/IMG_7+1239103628.JPG	CreativeCommons - Attribution	1340291|1340196	http://trace.boldsystems.org/traceIO/bold.org/1086960|http://trace.boldsystems.org/traceIO/bold.org/1086865	2009-04-18 09:40:04|2009-04-18 08:08:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
COLFB930-12	ZMUO.001975	2478889	ZMUO.001975	 	University of Oulu, Zoological Museum	BOLD:ABW8816	20	Arthropoda	82	Insecta	413	Coleoptera	1131	Cantharidae	349376	Cantharinae	6189	Rhagonycha	460661	Rhagonycha atra	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2011-07-03	adult	 	S	 	 	65.6833	24.5816	 	 	Finland	Lapland	Ostrobottnia ultima	Ajos, radanvarsi	1553473	http://v3.boldsystems.org/pics/COLFB/ZMUO.001975+1332169702.JPG	CreativeCommons - Attribution Non-Commercial	3997843|3997748	http://trace.boldsystems.org/traceIO/bold.org/5899320|http://trace.boldsystems.org/traceIO/bold.org/5899225	2012-04-23 19:38:24|2012-04-23 12:21:40	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFC716-12	ZMUO.003281	2537003	ZMUO.003281	 	University of Oulu, Zoological Museum	BOLD:AAI0308	20	Arthropoda	82	Insecta	413	Coleoptera	1751	Cerambycidae	83343	Lepturinae	155149	Rhagium	155152	Rhagium mordax	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2011-05-26	adult	 	S	 	 	58.016	25.879	 	 	Estonia	 	 	 	1609324	http://v3.boldsystems.org/pics/COLFC/ZMUO.003281+1335815998.JPG	CreativeCommons - Attribution Non-Commercial	4183784|4183689	http://trace.boldsystems.org/traceIO/bold.org/6031874|http://trace.boldsystems.org/traceIO/bold.org/6031779	2012-06-08 23:06:40|2012-06-09 00:32:31	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFE167-12	ZMUO.005202	3030063	ZMUO.005202	 	University of Oulu, Zoological Museum	BOLD:AAL1297	20	Arthropoda	82	Insecta	413	Coleoptera	1131	Cantharidae	349376	Cantharinae	6189	Rhagonycha	17188	Rhagonycha fulva	 	 	Mikko Pentinsaari	 	 	Sampsa Malmberg	2012-08-03	adult	 	S	 	 	60.189	24.816	 	 	Finland	 	Nylandia	Laajalahti	1882795	http://v3.boldsystems.org/pics/COLFE/ZMUO.005202+1359053870.JPG	CreativeCommons - Attribution Non-Commercial	4986603|4986508	http://trace.boldsystems.org/traceIO/bold.org/6833205|http://trace.boldsystems.org/traceIO/bold.org/6833110	2013-04-03 00:30:52|2013-04-03 16:30:28	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFE717-13	ZMUO.005562	3072621	ZMUO.005562	 	University of Oulu, Zoological Museum	BOLD:AAI0308	20	Arthropoda	82	Insecta	413	Coleoptera	1751	Cerambycidae	83343	Lepturinae	155149	Rhagium	155152	Rhagium mordax	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2012-06-16	adult	 	S	 	 	56.748	16.548	 	 	Sweden	 	 	Galgbacken	1903357	http://v3.boldsystems.org/pics/COLFE/ZMUO.005562+1360695090.JPG	CreativeCommons - Attribution Non-Commercial	5033343	http://trace.boldsystems.org/traceIO/bold.org/6879945	2013-04-03 10:10:42	Centre for Biodiversity Genomics	F	C_LepFolF	COI-5P
COLFF247-13	ZMUO.005852	3108639	ZMUO.005852	 	University of Oulu, Zoological Museum	BOLD:AAN9289	20	Arthropoda	82	Insecta	413	Coleoptera	1131	Cantharidae	349376	Cantharinae	6189	Rhagonycha	167117	Rhagonycha lignosa	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2012-06-15	adult	 	S	 	 	57.016	16.118	 	 	Sweden	 	 	 	1962504	http://v3.boldsystems.org/pics/COLFF/ZMUO.005852+1365553404.JPG	CreativeCommons - Attribution Non-Commercial	5161709|5161519	http://trace.boldsystems.org/traceIO/bold.org/7008311|http://trace.boldsystems.org/traceIO/bold.org/7008121	2013-05-21 10:39:22|2013-05-21 10:37:51	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
EUCAR747-11	ZFMK_COL_2010_961	1964754	ZFMK_COL_2010_961	ZFMK_COL_2010_961	Zoologisches Forschungsmuseum Alexander Koenig	BOLD:AAZ5408	20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	2933	Harpalinae	2920	Pterostichus	371284	Pterostichus multipunctatus	 	 	Karsten Hannig	Museum Vouchered:Type Series	 	Karsten Hannig	2008-07-27	A	 	S	 	in alcohol (ethanol, 96%)	47.316	10.266	 	 	Germany	Bavaria	 	 	1255207	http://v3.boldsystems.org/pics/EUCAR/ZFMK_COL_2010_961+1313027884.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3829354|3829311|3829332|3829250	http://trace.boldsystems.org/traceIO/bold.org/5319857|http://trace.boldsystems.org/traceIO/bold.org/5319814|http://trace.boldsystems.org/traceIO/bold.org/5319835|http://trace.boldsystems.org/traceIO/bold.org/5319794	2012-02-23 15:57:11|2012-02-16 16:29:10|2012-02-23 14:13:34|2012-02-16 15:02:16	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|R|F|F	C_LepFolR|MLepR2|MLepF1|C_LepFolF	COI-5P|COI-5P|COI-5P|COI-5P
