processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
ABOLB343-15	TLMF Lep 17348	5850940	1809974	 	Tiroler Landesmuseum Ferdinandeum	BOLD:AAB8489	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	183461	Coleophora albidella	 	 	Peter Huemer	 	 	Huemer P.	2012-06-19	A	 	S	 	 	47.301	11.126	 	 	Austria	Tyrol	Nordtirol	Oberpettnau, Platten	2604574	http://v3.boldsystems.org/pics/ABOLB/TLMF_Lep_17348+1430158184.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	7860427|7860332	http://trace.boldsystems.org/traceIO/|http://trace.boldsystems.org/traceIO/	2015-05-16 03:23:30|2015-05-16 00:21:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
CGUKD125-09	UKLB34B04	1009940	 	MSP 40	Natural History Museum, London	BOLD:AAB3182	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	13638	Coleophora mayrella	 	 	Jean-Francois Landry	 	 	MSP 40	2007-06-02	A	 	 	abdomen missing and head missing	 	50.73	-2.73	 	 	United Kingdom	England	Dorset	 	421333	http://v3.boldsystems.org/pics/CGUKD/IMG_2726+1238785200.JPG	CreativeCommons - Attribution	1310683|1310588	http://trace.boldsystems.org/traceIO/bold.org/1058386|http://trace.boldsystems.org/traceIO/bold.org/1058294	2009-03-24 19:25:27|2009-03-24 17:54:19	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
CGUKD626-09	UKLB39E05	1070376	 	RJH0492	Natural History Museum, London	BOLD:AAC3993	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	86705	Coleophora flavipennella	 	 	 	 	 	 	2008-05-10	A	 	S	 	genitalia dissected but glued on card and difficult to examine	50.416	-4.163	 	 	United Kingdom	England	 	 	422678	http://v3.boldsystems.org/pics/CGUKD/IMG_3066+1238879428.JPG	CreativeCommons - Attribution	1340147|1340052	http://trace.boldsystems.org/traceIO/bold.org/1086816|http://trace.boldsystems.org/traceIO/bold.org/1086726	2009-04-17 18:03:04|2009-04-17 16:31:50	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
FBACB686-11	BC ZSM HYM 09806	2241145	BC ZSM HYM 09806	BC ZSM HYM 09806	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAJ6969	20	Arthropoda	82	Insecta	125	Hymenoptera	443	Megachilidae	4962	Megachilinae	4964	Coelioxys	256628	Coelioxys conoidea	 	 	Christian Schmid-Egger	 	 	C. Schmid-Egger	2011-06-14	A	F	S	 	check sex	52.21	13.48	 	 	Germany	Brandenburg	Teltow Flaeming	Zossen	1645615	http://v3.boldsystems.org/pics/FBAPI/BC_ZSM_HYM_09806+1338571452.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3648355|3648260	http://trace.boldsystems.org/traceIO/bold.org/5530720|http://trace.boldsystems.org/traceIO/bold.org/5530625	2011-12-16 15:37:26|2011-12-16 14:11:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
LEATJ315-15	TLMF Lep 17890	6386272	1818906	 	Tiroler Landesmuseum Ferdinandeum	BOLD:AAB2196	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	86692	Coleophora lixella	 	 	Peter Huemer	 	leg	Seelaus H.	2015-07-03	A	 	S	 	 	47.046	11.592	 	200	Austria	Tyrol	Nordtirol	Innervals/ Umg. Altereralm	2701414	http://v3.boldsystems.org/pics/LEATJ/TLMF_Lep_17890+1442524646.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8548899|8547782	http://trace.boldsystems.org/traceIO/bold.org/10367609|http://trace.boldsystems.org/traceIO/bold.org/10366492	2015-10-19 11:43:07|2015-10-19 14:37:35	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
LNAEM440-07	CNCLEP00026527	541976	CNCLEP00026527	 	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAB3655	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	158600	Coleophora granulatella	 	 	Vazrick Nazari	 	 	JF Landry & G Pohl	 	A	 	 	 	grass and sage	60.712	-135.023	 	 	Canada	Yukon Territory	 	Grey Mtn Road	154514	http://v3.boldsystems.org/pics/LNAEM/CNCLEP00026527+1169131084.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	555507|555508	http://trace.boldsystems.org/traceIO/bold.org/352656|http://trace.boldsystems.org/traceIO/bold.org/352657	2007-02-20 03:47:11|2007-02-20 05:17:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
LNAEM518-07	CNCLEP00026959	542054	CNCLEP00026959	 	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAA2983	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	18040	Coleophora glaucicolella	 	 	Vazrick Nazari	 	 	JF Landry	2006-08-01	A	 	 	 	Identified using Taxon ID tree	38.52	-76.514	 	 	United States	Maryland	Calvert	2179 Bluebell Road	154592	http://v3.boldsystems.org/pics/LNAEM/CNCLEP00026959+1169220868.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	555581|555582	http://trace.boldsystems.org/traceIO/bold.org/352730|http://trace.boldsystems.org/traceIO/bold.org/352731	2007-02-20 03:47:11|2007-02-20 05:17:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
LNAEM520-07	CNCLEP00026961	542056	CNCLEP00026961	 	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAA2983	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	18040	Coleophora glaucicolella	 	 	Vazrick Nazari	 	 	JF Landry	2006-08-01	A	 	 	 	Identified using Taxon ID tree	38.52	-76.514	 	 	United States	Maryland	Calvert	2179 Bluebell Road	154594	http://v3.boldsystems.org/pics/LNAEM/CNCLEP00026961+1169221250.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	555585|555586	http://trace.boldsystems.org/traceIO/bold.org/352734|http://trace.boldsystems.org/traceIO/bold.org/352735	2007-02-20 03:47:11|2007-02-20 05:17:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
LNAEN247-06	CNCLEP00002529	514990	CNCLEP00002529	 	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAA2983	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	18040	Coleophora glaucicolella	 	 	Vazrick Nazari	 	 	C.D. Bird	2002-06-23	A	F	 	 	Identified using Taxon ID tree	52.483	-112.703	 	 	Canada	Alberta	 	18.5km N Stettler	146356	http://v3.boldsystems.org/pics/LNAEN/CNCLEP00002529+1165608710.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	553671|566005|553672|566004	http://trace.boldsystems.org/traceIO/bold.org/350820|http://trace.boldsystems.org/traceIO/bold.org/363152|http://trace.boldsystems.org/traceIO/bold.org/350821|http://trace.boldsystems.org/traceIO/bold.org/363151	2007-01-02 16:10:23|2007-03-01 13:53:27|2007-01-02 17:45:00|2007-03-01 15:24:39	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|F|R|R	LepF1|LepF1|LepR1|LepR1	COI-5P|COI-5P|COI-5P|COI-5P
LNAEN641-06	CNCLEP00010223	515384	CNCLEP00010223	 	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAA3993	20	Arthropoda	82	Insecta	113	Lepidoptera	649	Coleophoridae	2330	Coleophorinae	6497	Coleophora	84864	Coleophora duplicis	 	 	Jean-Francois Landry	 	 	JF Landry	1991-08-01	A	 	 	 	 	45.37	-76.23	 	 	Canada	Ontario	Carleton	Hwy 17 nr Hwy 14 intersection	146664	http://v3.boldsystems.org/pics/LNAEN/CNCLEP00010223+1166120946.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	554647|554648	http://trace.boldsystems.org/traceIO/bold.org/351796|http://trace.boldsystems.org/traceIO/bold.org/351797	2007-01-03 20:42:43|2007-01-03 22:14:00	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
