processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BCIBT1653-13	YB-BCI65690	3135879	 	BCI65690	Smithsonian Tropical Research Institute	BOLD:AAA3281	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6683	Astraptes	12950	Astraptes enotrus	 	 	Yves Basset	 	 	M. Rivera	2012-04-02	A	 	 	LEHEED-22000057	BM-TB1--APR2012-A	9.15472	-79.8481	 	 	Panama	Panama	 	TB-1	2039571	http://v3.boldsystems.org/pics/BCIBT/LEHEED-22000057-BCI65690-D+1369269174.jpg	No Rights Reserved	5164025|5163930	http://trace.boldsystems.org/traceIO/bold.org/7010627|http://trace.boldsystems.org/traceIO/bold.org/7010532	2013-06-03 23:39:22|2013-06-04 13:02:15	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCIBT470-11	YB-BCI41405	2123935	 	BCI41405	Smithsonian Tropical Research Institute	BOLD:AAA4249	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6683	Astraptes	546084	Astraptes favilla	 	 	Yves Basset	 	 	F. Perez	2011-05-04	A	 	 	LEHEED-22000066	BT-ARM4-MAY2011-A	9.15472	-79.8481	 	 	Panama	Panama	 	Armour4	1438806	http://v3.boldsystems.org/pics/BCIBT/LEHEED-22000015-BCI41405-D+1318958696.JPG	No Rights Reserved	3697090|3696995	http://trace.boldsystems.org/traceIO/bold.org/5584769|http://trace.boldsystems.org/traceIO/bold.org/5584674	2012-01-11 01:27:28|2012-01-11 13:13:42	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CSCR024-04	01-SRNP-3278	5074	01-SRNP-3278	01-SRNP-3278	University of Pennsylvania	BOLD:AAB2850	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167957	Telegonus brevicauda	 	 	Daniel H. Janzen	 	 	Osvaldo Espinoza	2001-10-10	A	F	S	Canavalia oxyphylla	Fabaceae	10.9	-85.373	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Rio Blanco Abajo	3792|3791	http://v3.boldsystems.org/pics/CSCR/01-SRNP-3278-DHJ37262.jpg|http://v3.boldsystems.org/pics/CSCR/01-SRNP-3278-DHJ37263.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	259152|259151	http://trace.boldsystems.org/traceIO/bold.org/91888|http://trace.boldsystems.org/traceIO/bold.org/91887	2004-11-02 17:04:26|2004-11-02 13:57:28	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepF1|LepF1	COI-5P|COI-5P
EPAF025-03	92-SRNP-5726	2053	92-SRNP-5726	92-SRNP-5726	University of Pennsylvania	BOLD:AAA4249	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167958	Telegonus favilla	 	 	Daniel H. Janzen	 	 	gusaneros	1992-11-19	A	F	S	Trigonia rugosa	Trigoniaceae	10.854	-85.615	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Camino Penca	1419|1420	http://v3.boldsystems.org/pics/EPAF/92-SRNP-5726-DHJ90155.jpg|http://v3.boldsystems.org/pics/EPAF/92-SRNP-5726-DHJ90154.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF144-03	97-SRNP-5500	2172	97-SRNP-5500	97-SRNP-5500	University of Pennsylvania	BOLD:AAA4249	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167958	Telegonus favilla	 	 	Daniel H. Janzen	 	 	gusaneros	1997-11-07	A	F	S	Trigonia laevis	Trigoniaceae	11.032	-85.526	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sendero Tigre	1591|1592	http://v3.boldsystems.org/pics/EPAF/97-SRNP-5500-DHJ90202.jpg|http://v3.boldsystems.org/pics/EPAF/97-SRNP-5500-DHJ90203.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF169-03	98-SRNP-2607	2197	98-SRNP-2607	98-SRNP-2607	University of Pennsylvania	BOLD:AEW8309	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1147081	Telegonus catemacoensis	 	 	Daniel H. Janzen	 	 	Manuel Pereira	1998-05-26	A	M	S	Hampea appendiculata	Malvaceae	10.929	-85.464	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sendero Derrumbe	1639|1640	http://v3.boldsystems.org/pics/EPAF/98-SRNP-2607-DHJ92612.jpg|http://v3.boldsystems.org/pics/EPAF/98-SRNP-2607-DHJ92613.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF215-03	00-SRNP-15081	2243	00-SRNP-15081	00-SRNP-15081	University of Pennsylvania	BOLD:AAA1584	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167953	Telegonus inflatio	 	 	Daniel H. Janzen	 	 	Manuel Pereira	2000-08-01	A	M	S	Inga vera	Fabaceae	10.883	-85.612	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Vado Cuajiniquil	1723|1724	http://v3.boldsystems.org/pics/EPAF/00-SRNP-15081-DHJ90381.jpg|http://v3.boldsystems.org/pics/EPAF/00-SRNP-15081-DHJ90380.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF230-03	01-SRNP-9111	2258	01-SRNP-9111	01-SRNP-9111	University of Pennsylvania	BOLD:AAA4249	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167958	Telegonus favilla	 	 	Daniel H. Janzen	 	 	Lucia Rios	2001-02-15	A	M	S	Trigonia laevis	Trigoniaceae	11.03	-85.527	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sendero Bejuquilla	1748|1747	http://v3.boldsystems.org/pics/EPAF/01-SRNP-9111-DHJ90181.jpg|http://v3.boldsystems.org/pics/EPAF/01-SRNP-9111-DHJ90180.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF336-03	02-SRNP-31620	2364	02-SRNP-31620	02-SRNP-31620	University of Pennsylvania	BOLD:AAA4249	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167958	Telegonus favilla	 	 	Daniel H. Janzen	 	 	Dunia Garcia	2002-12-17	A	F	S	Trigonia rugosa	Trigoniaceae	11.03	-85.527	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sendero Bejuquilla	1920|1919	http://v3.boldsystems.org/pics/EPAF/02-SRNP-31620-DHJ90152.jpg|http://v3.boldsystems.org/pics/EPAF/02-SRNP-31620-DHJ90153.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
EPAF372-03	02-SRNP-20353	2400	02-SRNP-20353	02-SRNP-20353	University of Pennsylvania	BOLD:AAA1584	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958252	Telegonus	1167953	Telegonus inflatio	 	 	Daniel H. Janzen	 	 	Gloria Sihezar	2003-02-07	A	M	S	Cupania glabra	Sapindaceae	10.87	-85.392	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Vado Rio Cucaracho	1974|1973	http://v3.boldsystems.org/pics/EPAF/02-SRNP-20353-DHJ92587.jpg|http://v3.boldsystems.org/pics/EPAF/02-SRNP-20353-DHJ92586.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike							
