processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BBLSW151-09	09BBLEP-01079	1214947	 	AZ090527-06	Centre for Biodiversity Genomics	BOLD:AAH5279	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	450516	Palpita gracilalis	 	 	 	 	 	S.McCubbin, K.Perez, A.Borisenko	2009-05-27	A	 	S	 	UV sheet	34.6712	-111.713	 	 	United States	Arizona	Yavapai Co.	riparian forest	551898	http://v3.boldsystems.org/pics/BBLSW/IMG_7222+1252420056.JPG	CreativeCommons - Attribution	1641352|1641257	http://trace.boldsystems.org/traceIO/bold.org/1369232|http://trace.boldsystems.org/traceIO/bold.org/1369138	2009-10-06 22:19:29|2009-10-06 20:53:49	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BBLSX195-09	09BBLEP-02123	1222244	 	TX090524-06	Centre for Biodiversity Genomics	BOLD:AAH5279	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	450516	Palpita gracilalis	 	 	 	 	 	K.Perez, S.McCubbin, J.Cossey, A.Borisenko	2009-05-24	A	 	S	 	mercury vapour	30.7743	-101.919	 	 	United States	Texas	Pecos Co.	farmland	559358	http://v3.boldsystems.org/pics/BBLSX/IMG_8408+1253821038.JPG	CreativeCommons - Attribution	1682027|1681932	http://trace.boldsystems.org/traceIO/bold.org/1409512|http://trace.boldsystems.org/traceIO/bold.org/1409417	2009-10-29 23:25:27|2009-10-30 00:54:11	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPBF131-07	07-SRNP-102010	624527	 	07-SRNP-102010	Area de Conservacion Guanacaste	BOLD:AAA4889	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	63929	Palpita flegia	 	 	Daniel H. Janzen	 	 	R.Franco, F.Quesada	2007-03-17	A	 	S	light trap	light trap	10.989	-85.426	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Estacion Pitilla	227149	http://v3.boldsystems.org/pics/BLPBF/07-SRNP-102010_DHJ611974+1177684062.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	765900|765994	http://trace.boldsystems.org/traceIO/bold.org/553756|http://trace.boldsystems.org/traceIO/bold.org/553850	2007-09-28 18:41:04|2007-09-28 20:12:46	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCB143-08	07-SRNP-105688	733530	 	07-SRNP-105688	Area de Conservacion Guanacaste	BOLD:AAA5025	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	70178	Oxyteninae	55522	Oxytenis	731199	Oxytenis modoccidentalis	 	 	Daniel H. Janzen	 	 	S.Rios&H.Cambronero	2007-07-13	A	 	S	light trap	light trap	10.901	-85.276	 	 	Costa Rica	Alajuela	Area De Conservacion Guanacaste	Estacion Caribe	1713691	http://v3.boldsystems.org/pics/BLSAB/07-SRNP-105688_DHJ615652+1342713410.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	904405|904499	http://trace.boldsystems.org/traceIO/bold.org/682586|http://trace.boldsystems.org/traceIO/bold.org/682680	2008-04-07 14:48:03|2008-04-07 16:19:09	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCE659-08	07-SRNP-109024	769439	 	07-SRNP-109024	Area de Conservacion Guanacaste	BOLD:AAA4462	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	70178	Oxyteninae	55522	Oxytenis	515240	Oxytenis naemiaICHG01	 	 	Daniel H. Janzen	 	 	F.Quesada&R.Franco	2007-10-09	A	 	S	light trap	light trap	10.901	-85.276	 	 	Costa Rica	Alajuela	Area De Conservacion Guanacaste	Estacion Caribe	393224	http://v3.boldsystems.org/pics/BLSAA/07-SRNP-109024_DHJ618988+1193347404.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	969328	http://trace.boldsystems.org/traceIO/bold.org/745904	2008-06-10 15:26:49	Centre for Biodiversity Genomics	R	LepR1	COI-5P
BLPCN156-08	08-SRNP-102693	911536	 	08-SRNP-102693	Area de Conservacion Guanacaste	BOLD:AAA5025	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	70178	Oxyteninae	55522	Oxytenis	731199	Oxytenis modoccidentalis	 	 	Daniel H. Janzen	 	 	S.Rios&F.Quesada	2008-06-07	Adult	 	S	light trap	light trap	11.004	-85.441	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Bosque Aguirre	449397	http://v3.boldsystems.org/pics/BLPCN/08-SRNP-102693_DHJ626757+1219866580.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1233943|1233849	http://trace.boldsystems.org/traceIO/bold.org/984305|http://trace.boldsystems.org/traceIO/bold.org/984211	2009-01-27 13:29:36|2009-01-27 11:42:09	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPDK1862-09	09-SRNP-106790	1262164	09-SRNP-106790	09-SRNP-106790	Area de Conservacion Guanacaste	BOLD:AAA4889	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	63929	Palpita flegia	 	 	Daniel H. Janzen	 	 	R.Franco&S.Rios	2009-07-23	A	 	S	light trap	light trap	10.927	-85.468	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Estacion Cacao	584641	http://v3.boldsystems.org/pics/BLPDK/09-SRNP-106790_DHJ640025+1251469776.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1744235|1744140	http://trace.boldsystems.org/traceIO/bold.org/1469926|http://trace.boldsystems.org/traceIO/bold.org/1469831	2009-12-01 11:35:14|2009-12-01 10:05:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPDK1863-09	09-SRNP-106791	1262165	09-SRNP-106791	09-SRNP-106791	Area de Conservacion Guanacaste	BOLD:AAA4889	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	63929	Palpita flegia	 	 	Daniel H. Janzen	 	 	R.Franco&S.Rios	2009-07-23	A	 	S	light trap	light trap	10.927	-85.468	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Estacion Cacao	584642	http://v3.boldsystems.org/pics/BLPDK/09-SRNP-106791_DHJ640026+1251469558.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1744236|1744141	http://trace.boldsystems.org/traceIO/bold.org/1469927|http://trace.boldsystems.org/traceIO/bold.org/1469832	2009-12-01 11:35:14|2009-12-01 10:05:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPDR067-10	10-SRNP-105692	1565212	10-SRNP-105692	10-SRNP-105692	Area de Conservacion Guanacaste	BOLD:AAA8438	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	70178	Oxyteninae	55522	Oxytenis	109871	Oxytenis nubila	 	 	Daniel H. Janzen	 	 	S.Rios&F.Quesada	2010-02-14	A	 	S	light trap	light trap	10.868	-85.327	 	 	Costa Rica	Alajuela	Area De Conservacion Guanacaste	Albergue Oscar, Tunel	877001	http://v3.boldsystems.org/pics/BLPDR/10-SRNP-105692_DHJ650567+1274806286.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2365713|2365618	http://trace.boldsystems.org/traceIO/bold.org/2061043|http://trace.boldsystems.org/traceIO/bold.org/2060948	2010-09-16 03:32:14|2010-09-16 02:06:21	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPDU124-11	10-SRNP-109546	1799738	10-SRNP-109546	10-SRNP-109546	Area de Conservacion Guanacaste	BOLD:AAA4889	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7523	Palpita	63929	Palpita flegia	 	 	Daniel H. Janzen	 	 	F.Quesada&R.Franco	2010-06-14	A	 	S	light trap	light trap	10.792	-85.349	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Manta Mona	1197489|1190160	http://v3.boldsystems.org/pics/BLPDU/10-SRNP-109546_DHJ654421+1309874356.jpg|http://v3.boldsystems.org/pics/BLPDU/10-SRNP-109546_DHJ654421+1309192510.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	2814753|2814658	http://trace.boldsystems.org/traceIO/bold.org/2493147|http://trace.boldsystems.org/traceIO/bold.org/2493052	2011-03-22 21:29:07|2011-03-22 20:02:43	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
