processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
ANICT040-11	11ANIC-06040	1890783	ANIC Database No. 31 044485	11ANIC-06040	Australian National Insect Collection	BOLD:AAC4913	20	Arthropoda	82	Insecta	113	Lepidoptera	525	Geometridae	5182	Sterrhinae	7684	Scopula	313280	Scopula lydia	 	 	ANIC Curators	 	 	E.D.Edwards	1978-09-18	A	 	S	 	 	-31.32	137.14	 	 	Australia	South Australia	 	nr Lake Eyre South	1092937	http://v3.boldsystems.org/pics/ANICT/11ANIC_06040+1301726504.JPG	CreativeCommons - Attribution	3448820|3108866|3448821|3108768	http://trace.boldsystems.org/traceIO/bold.org/3103918|http://trace.boldsystems.org/traceIO/bold.org/2774074|http://trace.boldsystems.org/traceIO/bold.org/3103919|http://trace.boldsystems.org/traceIO/bold.org/2773976	2011-08-26 20:16:03|2011-06-15 23:48:24|2011-08-26 21:42:04|2011-06-16 00:32:53	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R|R|F	M13F|MLepR2|M13R|LepF1	COI-5P|COI-5P|COI-5P|COI-5P
BLTIB642-08	BL922	939899	 	genome.moth.7	University of Guelph	BOLD:AAA1518	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	1989	Scopariinae	6774	Scoparia	9597	Scoparia biplagialis	 	 	 	 	 	Ryan Gregory	2008-07-15	A	 	S	0.65	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	430458	http://v3.boldsystems.org/pics/BLTIB/IMG_9210+1241188134.JPG	CreativeCommons - Attribution	1158641|1158546	http://trace.boldsystems.org/traceIO/bold.org/914658|http://trace.boldsystems.org/traceIO/bold.org/914563	2008-11-11 03:57:11|2008-11-11 02:26:27	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BNBMP604-09	BNB2-00604	1104887	 	BNB2-00604	Royal Ontario Museum	BOLD:AAA4657	20	Arthropoda	82	Insecta	127	Diptera	707	Simuliidae	2358	Simuliinae	2353	Simulium	210701	Simulium escomeli	 	 	Julio Rivera	 	 	Julio Rivera & Lauren Pinault	2008-10-07	A	F	 	 	 	-3.28972	-78.3131	 	 	Ecuador	Azuay	Sta. Isabel	 	444020	http://v3.boldsystems.org/pics/BNBMP/BNB200604+1241550310.JPG	CreativeCommons - Attribution	1411164	http://trace.boldsystems.org/traceIO/bold.org/1149507	2009-06-04 16:39:40	Centre for Biodiversity Genomics	R	LepR1	COI-5P
COLFE1480-13	ZMUO.007275	3248392	ZMUO.007275	 	University of Oulu, Zoological Museum	BOLD:AAO0023	20	Arthropoda	82	Insecta	413	Coleoptera	831	Staphylinidae	286641	Paederinae	309354	Scopaeus	309355	Scopaeus laevigatus	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2012-07-21	adult	 	S	 	 	60.5169	27.2722	 	 	Finland	 	Karelia australis	Vilniemi	2030037	http://v3.boldsystems.org/pics/COLFE/ZMUO.007275+1367984814.JPG	CreativeCommons - Attribution Non-Commercial	5186839|5186744	http://trace.boldsystems.org/traceIO/bold.org/7033441|http://trace.boldsystems.org/traceIO/bold.org/7033346	2013-06-11 16:44:08|2013-06-11 19:54:02	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
FBCOE1075-12	BFB_Col_FK_3545	2547684	BFB_Col_FK_3545	11.05.08-sc2	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAO0023	20	Arthropoda	82	Insecta	413	Coleoptera	831	Staphylinidae	286641	Paederinae	309354	Scopaeus	309355	Scopaeus laevigatus	 	 	Frank Koehler	 	 	Koehler, F. & W. Koehler	2011-05-08	A	 	 	 	 	49.7614	9.52316	 	 	Germany	Bavaria	Unterfranken	Kreuzwertheim, Mainufer	1631941	http://v3.boldsystems.org/pics/FBCOE/BC_ZSM_Col_3545+1338228754.JPG	CreativeCommons - Attribution Non-Commercial Share-Alike	4619363|4619314	http://trace.boldsystems.org/traceIO/bold.org/6466574|http://trace.boldsystems.org/traceIO/bold.org/6466575	2012-10-13 07:01:17|2012-10-13 05:34:49	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
FBCOH304-12	BFB_Col_FK_6288	2952065	BFB_Col_FK_6288	11.05.30-v3	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAP7191	20	Arthropoda	82	Insecta	413	Coleoptera	1166	Pyrochroidae	286611	Pyrochroinae	167308	Schizotus	330252	Schizotus pectinicornis	 	 	Frank Koehler	 	 	Koehler, F. & W. Koehler	2011-05-30	A	 	 	 	 	51.4461	8.13539	 	 	Germany	North Rhine-Westphalia	Sauerland	Arnsberg-Breitenbruch, NWZ Hellerberg	1846517	http://v3.boldsystems.org/pics/FBCOH/BFB_Col_FK_6288+1335455214.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4793240|4793174	http://trace.boldsystems.org/traceIO/bold.org/6640502|http://trace.boldsystems.org/traceIO/bold.org/6640436	2013-01-18 06:02:46|2013-01-18 07:34:43	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	C_LepFolF|C_LepFolR	COI-5P|COI-5P
GBCOB057-12	GBOL_Col_FK_0057	2919179	GBOL_Col_FK_0057	10.07.10-lik	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAO0023	20	Arthropoda	82	Insecta	413	Coleoptera	831	Staphylinidae	286641	Paederinae	309354	Scopaeus	309355	Scopaeus laevigatus	 	 	Frank Koehler	 	 	Koehler, F.	2010-07-10	A	 	 	 	 	50.7451	6.9163	 	 	Germany	North Rhine-Westphalia	Niederrheinische Bucht	Bornheim-Hemmerich, Kreuzmaar	1837329	http://v3.boldsystems.org/pics/GBCOB/GBOL_Col_FK_0057+1341235114.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4744504|4744410	http://trace.boldsystems.org/traceIO/bold.org/6591766|http://trace.boldsystems.org/traceIO/bold.org/6591672	2012-12-21 03:39:01|2012-12-21 02:07:42	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
GBCOL064-12	GBOL_Col_FK_2249	2906644	GBOL_Col_FK_2249	mw.rw2.02	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAP7191	20	Arthropoda	82	Insecta	413	Coleoptera	1166	Pyrochroidae	286611	Pyrochroinae	167308	Schizotus	330252	Schizotus pectinicornis	 	 	Frank Koehler	 	 	Merkel-Wallner, G.	2011-05-19	A	 	 	 	 	48.9136	12.4614	 	 	Germany	Bavaria	Dungau	Rain, Rainer Wald	1832355	http://v3.boldsystems.org/pics/GBCOL/GBOL_Col_FK_2249+1342459732.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4738158|4738095	http://trace.boldsystems.org/traceIO/bold.org/6585419|http://trace.boldsystems.org/traceIO/bold.org/6585356	2012-12-14 21:00:17|2012-12-14 19:28:33	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
JWDCB003-10	07PROBE-JW0953	1411378	 	E#CHMAL-007	Canadian National Collection of Insects, Arachnids and Nematodes	BOLD:AAD0792	20	Arthropoda	82	Insecta	127	Diptera	1823	Syrphidae	5919	Eristalinae	48299	Sericomyia	48309	Sericomyia sexfasciata	 	 	Jinjing Wang	Museum voucher: whole specimen in ethanol	 	A. Renaud	2007-07-21	A	 	S	 	malaise trap	58.731	-93.78	 	 	Canada	Manitoba	Churchill	 	720956	http://v3.boldsystems.org/pics/JWDCB/07PROBE-JW0953+1269007212.JPG	CreativeCommons - Attribution	2069259|2069164	http://trace.boldsystems.org/traceIO/bold.org/1777191|http://trace.boldsystems.org/traceIO/bold.org/1777096	2010-05-20 21:54:13|2010-05-20 20:25:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
LBCS556-07	UBC-2007-0313	707297	 	UBC-2007-0313	Research Collection of Jeremy deWaard	BOLD:AAA1518	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	1989	Scopariinae	6774	Scoparia	9597	Scoparia biplagialis	 	 	 	 	 	Li, A.	2007-07-03	A	 	 	 	UV light	49.306	-123.153	 	 	Canada	British Columbia	Vancouver	Aquarium	267126	http://v3.boldsystems.org/pics/LBCS/DSC_0086+1205904500.JPG	CreativeCommons - Attribution	1123465|1123464	http://trace.boldsystems.org/traceIO/bold.org/880186|http://trace.boldsystems.org/traceIO/bold.org/880185	2008-01-03 19:53:28|2008-01-03 18:22:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
