processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BCHYM11658-15	BC-ZSM-HYM-13565-F08	6376052	BC-ZSM-HYM-13565-F08	BC-ZSM-HYM-13565-F08	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABA7108	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995410	Tetrastichus ulmi	 	 	Christer Hansson	 	 	B. W. Svensson & Co.	2009-06-25	a	 	S	 	 	55.605	13.004	 	 	Sweden	Skane	 	Malmoe, Limhamms Kalkbrott	2722481	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-13565-F08+1444992688.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8610996	http://trace.boldsystems.org/traceIO/bold.org/10429724	2015-10-30 12:00:50	Centre for Biodiversity Genomics	R	LepR1	COI-5P
BCHYM11802-15	BC-ZSM-HYM-27769-B10	6376196	BC-ZSM-HYM-27769-B10	BC-ZSM-HYM-27769-B10	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5951	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995418	Tetrastichus suecus	 	 	Christer Hansson	 	 	C. Hansson	2015-07-24	a	F	 	 	 	56.676	16.558	 	 	Sweden	Kalmar	 	Oeland, Jordtorpsasen	2725853	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27769-B10+1445427282.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8642640	http://trace.boldsystems.org/traceIO/bold.org/10461379	2015-11-13 11:39:57	Centre for Biodiversity Genomics	R	LepR1	COI-5P
BCHYM11811-15	BC-ZSM-HYM-27769-C07	6376205	BC-ZSM-HYM-27769-C07	BC-ZSM-HYM-27769-C07	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5790	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995419	Tetrastichus lyridice	 	 	Christer Hansson	 	 	C. Hansson	2015-07-22	a	F	 	 	 	56.868	16.774	 	 	Sweden	Kalmar	 	Oeland, Egby, rifle range	2725862	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27769-C07+1445427300.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8643888|8642649	http://trace.boldsystems.org/traceIO/bold.org/10462627|http://trace.boldsystems.org/traceIO/bold.org/10461388	2015-11-12 13:03:05|2015-11-13 11:39:57	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BCHYM12482-15	BC-ZSM-HYM-25460-D01	6641862	BC-ZSM-HYM-25460-D01	BC-ZSM-HYM-25460-D01	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5954	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995405	Tetrastichus temporalis	 	 	Christer Hansson	 	 	C. Hansson	2015-08-29	a	F	S	 	 	55.6983	13.4994	 	 	Sweden	Skane	 	Krankesjoen, Fiskeplats	2772687	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-25460-D01+1449268346.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8868348|8868063	http://trace.boldsystems.org/traceIO/bold.org/10687063|http://trace.boldsystems.org/traceIO/bold.org/10686778	2016-01-12 12:06:47|2016-01-12 14:01:00	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM12490-15	BC-ZSM-HYM-25460-D09	6641870	BC-ZSM-HYM-25460-D09	BC-ZSM-HYM-25460-D09	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5953	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	803284	Tetrastichus miser	 	 	Christer Hansson	 	 	C. Hansson	2015-08-29	a	F	S	 	 	55.6983	13.4994	 	 	Sweden	Skane	 	Krankesjoen, Fiskeplats	2772695	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-25460-D09+1449268364.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8868356	http://trace.boldsystems.org/traceIO/bold.org/10687071	2016-01-12 12:06:47	Centre for Biodiversity Genomics	R	LepR1	COI-5P
BCHYM12538-15	BC-ZSM-HYM-25460-H09	6641918	BC-ZSM-HYM-25460-H09	BC-ZSM-HYM-25460-H09	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5789	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995414	Tetrastichus leocrates	 	 	Christer Hansson	 	 	C. Hansson	2015-09-14	a	F	S	 	 	55.6972	13.47	 	 	Sweden	Skane	 	Krankesjoen S. shore	2772743	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-25460-H09+1449268468.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	8868404|8868119	http://trace.boldsystems.org/traceIO/bold.org/10687119|http://trace.boldsystems.org/traceIO/bold.org/10686834	2016-01-12 12:06:47|2016-01-12 14:01:00	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15890-17	BC-ZSM-HYM-29751-A11	8359298	BC-ZSM-HYM-29751-A11	BC-ZSM-HYM-29751-A11	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5790	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995419	Tetrastichus lyridice	 	 	Christer Hansson	 	 	C. Hansson	2017-07-19	a	F	 	 	 	55.6861	13.4611	 	 	Sweden	Skane	 	Lake Kranke, Ekskogen	3223301	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-29751-A11+1510087450.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	10440307|10440125	http://trace.boldsystems.org/traceIO/bold.org/12259015|http://trace.boldsystems.org/traceIO/bold.org/12258833	2017-12-04 20:20:18|2017-12-05 02:02:59	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15915-17	BC-ZSM-HYM-29751-C12	8359323	BC-ZSM-HYM-29751-C12	BC-ZSM-HYM-29751-C12	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ACM5790	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995419	Tetrastichus lyridice	 	 	Christer Hansson	 	 	C. Hansson	2017-07-19	a	F	 	 	 	55.6967	13.47	 	 	Sweden	Skane	 	Lake Kranke, S shore	3223326	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-29751-C12+1510087564.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	10440354|10440163	http://trace.boldsystems.org/traceIO/bold.org/12259062|http://trace.boldsystems.org/traceIO/bold.org/12258871	2017-12-04 20:20:18|2017-12-05 02:02:59	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15945-17	BC-ZSM-HYM-29751-F06	8359353	BC-ZSM-HYM-29751-F06	BC-ZSM-HYM-29751-F06	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABU5804	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995409	Tetrastichus halidayi	 	 	Christer Hansson	 	 	C. Hansson	2017-07-09	a	F	 	 	 	55.0756	13.6778	 	 	Sweden	Skane	 	Oeved, Stenbrottsvaegen	3223356	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-29751-F06+1510087708.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	10440393	http://trace.boldsystems.org/traceIO/bold.org/12259101	2017-12-04 20:20:18	Centre for Biodiversity Genomics	R	LepR1	COI-5P
BCHYM15952-17	BC-ZSM-HYM-29751-G01	8359360	BC-ZSM-HYM-29751-G01	BC-ZSM-HYM-29751-G01	SNSB, Zoologische Staatssammlung Muenchen	BOLD:ABU5804	20	Arthropoda	82	Insecta	125	Hymenoptera	51253	Eulophidae	51254	Tetrastichinae	51365	Tetrastichus	995409	Tetrastichus halidayi	 	 	Christer Hansson	 	 	C. Hansson	2017-07-09	a	F	 	 	 	55.0756	13.6778	 	 	Sweden	Skane	 	Oeved, Stenbrottsvaegen	3223363	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-29751-G01+1510087734.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	10440413|10440221	http://trace.boldsystems.org/traceIO/bold.org/12259121|http://trace.boldsystems.org/traceIO/bold.org/12258929	2017-12-04 20:20:18|2017-12-05 02:02:59	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
