processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
LNAUW311-17	CCDB-30816-C08	7897545	USNM ENT 01342653	 	Smithsonian Institution, National Museum of Natural History	BOLD:AAA1263	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	17748	Urbanus proteus	 	 	Frank R. Hedges	Vouchered:Registered Collection	Tissue	F.R.Hedges	1974-11-21	A	 	 	 	 	 	 	 	 	United States	Texas	Hidalgo County	 	3172424	http://v3.boldsystems.org/pics/LNAUW/CCDB-30816-C08+1501785886.JPG	CreativeCommons - Attribution	10328167|10328125|10328044	http://trace.boldsystems.org/traceIO/bold.org/12146843|http://trace.boldsystems.org/traceIO/bold.org/12146801|http://trace.boldsystems.org/traceIO/bold.org/12146720	2017-09-08 23:37:46|2017-09-08 16:52:25|2017-09-08 11:37:09	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R|F	LepF1|LepR1|MLepF1	COI-5P|COI-5P|COI-5P
MHAHC322-05	01-SRNP-23060	42211	 	01-SRNP-23060	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Freyci Vargas	2001-10-19	A	M	S	Clibadium pittieri	Asteraceae	10.904	-85.287	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Camino Rio Francia	24090|24091	http://v3.boldsystems.org/pics/MHAHC/01-SRNP-23060-DHJ99732.jpg|http://v3.boldsystems.org/pics/MHAHC/01-SRNP-23060-DHJ99733.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	258192|256131	http://trace.boldsystems.org/traceIO/bold.org/90928|http://trace.boldsystems.org/traceIO/bold.org/88867	2005-04-08 12:11:55|2005-04-07 22:45:59	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
MHAHC388-05	04-SRNP-15680	47773	 	04-SRNP-15680	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Guillermo Pereira	2004-11-16	A	F	S	Melanthera nivea	Asteraceae	10.849	-85.773	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Casa Potrero Grande	25313|45273|45274|25314	http://v3.boldsystems.org/pics/MHAHC/04-SRNP-15680-DHJ302758.jpg|http://v3.boldsystems.org/pics/CSCR/04-SRNP-15680-DHJ302758.jpg|http://v3.boldsystems.org/pics/CSCR/04-SRNP-15680-DHJ302759.jpg|http://v3.boldsystems.org/pics/MHAHC/04-SRNP-15680-DHJ302759.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	259882|259881	http://trace.boldsystems.org/traceIO/bold.org/92618|http://trace.boldsystems.org/traceIO/bold.org/92617	2005-05-18 02:45:22|2005-05-17 23:30:20	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepF1|LepF1	COI-5P|COI-5P
MHAHD413-05	00-SRNP-22026	61423	 	00-SRNP-22026	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Gloria Sihezar	2000-11-13	A	 	S	Zexmenia virgulta	Asteraceae	10.9	-85.373	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Rio Blanco Abajo	56113|56114	http://v3.boldsystems.org/pics/MHAHD/00-SRNP-22026-DHJ305500.jpg|http://v3.boldsystems.org/pics/MHAHD/00-SRNP-22026-DHJ305501.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	794529|794528	http://trace.boldsystems.org/traceIO/bold.org/579304|http://trace.boldsystems.org/traceIO/bold.org/579303	2005-11-03 20:07:46|2005-11-03 16:52:56	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
MHAHD427-05	01-SRNP-22505	61437	 	01-SRNP-22505	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Gloria Sihezar	2001-11-09	A	 	S	Zexmenia virgulta	Asteraceae	10.9	-85.373	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Rio Blanco Abajo	56147|56148	http://v3.boldsystems.org/pics/MHAHD/01-SRNP-22505-DHJ305532.jpg|http://v3.boldsystems.org/pics/MHAHD/01-SRNP-22505-DHJ305533.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	794557|794556	http://trace.boldsystems.org/traceIO/bold.org/579332|http://trace.boldsystems.org/traceIO/bold.org/579331	2005-11-03 20:07:46|2005-11-03 16:52:56	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
MHAHD428-05	01-SRNP-1028	61438	 	01-SRNP-1028	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Gloria Sihezar	2001-03-21	A	 	S	Zexmenia virgulta	Asteraceae	10.952	-85.374	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Camino Ensayo	55676|55677	http://v3.boldsystems.org/pics/MHAHD/01-SRNP-1028-DHJ305534.jpg|http://v3.boldsystems.org/pics/MHAHD/01-SRNP-1028-DHJ305535.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	794558|794559	http://trace.boldsystems.org/traceIO/bold.org/579333|http://trace.boldsystems.org/traceIO/bold.org/579334	2005-11-03 16:52:56|2005-11-03 20:07:46	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
MHAHD439-05	01-SRNP-23117	61449	 	01-SRNP-23117	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Freyci Vargas	2001-10-28	A	 	S	Clibadium surinamense	Asteraceae	10.908	-85.291	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sendero Parcelas	56149|56150	http://v3.boldsystems.org/pics/MHAHD/01-SRNP-23117-DHJ305556.jpg|http://v3.boldsystems.org/pics/MHAHD/01-SRNP-23117-DHJ305557.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	794581|794580	http://trace.boldsystems.org/traceIO/bold.org/579356|http://trace.boldsystems.org/traceIO/bold.org/579355	2005-11-03 20:07:46|2005-11-03 16:52:56	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
MHAHD576-05	04-SRNP-21913	68682	 	04-SRNP-21913	Smithsonian Institution	BOLD:AAA2276	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	643422	Urbanus segnestami	 	 	Daniel H. Janzen	 	 	Elieth Cantillano	2004-05-06	A	M	S	Calea urticifolia	Asteraceae	11.033	-85.429	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Quebrada Lajosa	56843|56844	http://v3.boldsystems.org/pics/MHAHD/04-SRNP-21913-DHJ305870.jpg|http://v3.boldsystems.org/pics/MHAHD/04-SRNP-21913-DHJ305871.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	707666|707667	http://trace.boldsystems.org/traceIO/bold.org/502194|http://trace.boldsystems.org/traceIO/bold.org/502195	2005-10-07 00:17:08|2005-10-07 03:31:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
MHAHE157-05	04-SRNP-33890	70431	04-SRNP-33890	04-SRNP-33890	University of Pennsylvania	BOLD:AAA1263	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	17748	Urbanus proteus	 	 	John Burns	 	 	Manuel Rios	2004-08-28	A	 	S	Centrosema pubescens	Fabaceae	11.019	-85.41	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Pasmompa	57172|57173	http://v3.boldsystems.org/pics/MHAHE/04-SRNP-33890-DHJ306888.jpg|http://v3.boldsystems.org/pics/MHAHE/04-SRNP-33890-DHJ306889.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	746064|746065	http://trace.boldsystems.org/traceIO/bold.org/535049|http://trace.boldsystems.org/traceIO/bold.org/535050	2005-10-26 20:14:25|2005-10-27 08:58:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
MHAHF893-06	05-SRNP-33815	224525	05-SRNP-33815	05-SRNP-33815	University of Pennsylvania	BOLD:AAA1263	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	6690	Urbanus	17748	Urbanus proteus	 	 	John Burns	 	 	Petrona Rios	2005-10-24	A	 	S	Vigna adenantha	Fabaceae	11.019	-85.41	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Pasmompa	95365|95366	http://v3.boldsystems.org/pics/MHAHF/05-SRNP-33815-DHJ326618+1145392612.jpg|http://v3.boldsystems.org/pics/MHAHF/05-SRNP-33815-DHJ326619+1145392618.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	416650|416649	http://trace.boldsystems.org/traceIO/bold.org/223319|http://trace.boldsystems.org/traceIO/bold.org/223318	2006-04-04 00:26:09|2006-04-03 21:10:35	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
