processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BBLSX647-09	09BBLEP-02575	1222696	 	OK090517-02	Centre for Biodiversity Genomics	BOLD:AAA5642	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4715	Acontiinae	51443	Ponometia	341180	Ponometia candefacta	 	 	 	 	 	J.Cossey	2009-05-17	A	 	S	 	freehand	33.883	-96.8391	 	 	United States	Oklahoma	Marshall Co.	meadow	564882	http://v3.boldsystems.org/pics/BBLSX/IMG_0805+1255024316.JPG	CreativeCommons - Attribution	1682454|1682359	http://trace.boldsystems.org/traceIO/bold.org/1409928|http://trace.boldsystems.org/traceIO/bold.org/1409833	2009-10-30 14:30:06|2009-10-30 13:01:28	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM18723-20	BC-ZSM-HYM-30269-H01	11227976	BC-ZSM-HYM-30269-H01	BC-ZSM-HYM-30269-H01	Private Collection of Christian Schmid-Egger	BOLD:AAN3303	20	Arthropoda	82	Insecta	125	Hymenoptera	449	Vespidae	78210	Polistinae	5345	Polistes	733927	Polistes mongolicus	 	 	Christian Schmid-Egger	 	 	Schmid-Egger	2014-05-06	adult	F	 	 	 	29.9477	56.5622	 	 	Iran	Kerman	 	Bardsir	3777263	http://v3.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-30269-H01_Polistes_mongolicus_f+1580745782.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	11539178|11539083	http://trace.boldsystems.org/traceIO/bold.org/13358278|http://trace.boldsystems.org/traceIO/bold.org/13358183	2020-03-19 12:37:00|2020-03-19 01:05:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
COLFB093-12	ZMUO.001423	2478052	ZMUO.001423	 	University of Oulu, Zoological Museum	BOLD:ABW5155	20	Arthropoda	82	Insecta	413	Coleoptera	1813	Chrysomelidae	5944	Chrysomelinae	310076	Prasocuris	718811	Prasocuris hannoveriana	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2011-05-08	adult	 	S	 	 	64.9657	25.4916	 	 	Finland	Northern Ostrobothnia	Ostrobottnia ouluensis	Kiviniemi	1550941	http://v3.boldsystems.org/pics/COLFB/ZMUO.001423+1331650384.JPG	CreativeCommons - Attribution Non-Commercial	4004168|4004073	http://trace.boldsystems.org/traceIO/bold.org/5901734|http://trace.boldsystems.org/traceIO/bold.org/5901639	2012-04-23 19:39:40|2012-04-23 18:13:20	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFB123-12	ZMUO.001453	2478082	ZMUO.001453	 	University of Oulu, Zoological Museum	BOLD:ABW5155	20	Arthropoda	82	Insecta	413	Coleoptera	1813	Chrysomelidae	5944	Chrysomelinae	310076	Prasocuris	718811	Prasocuris hannoveriana	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2011-05-17	adult	 	S	 	 	60.2204	25.0054	 	 	Finland	Uusimaa	Nylandia	Viikki	1551066	http://v3.boldsystems.org/pics/COLFB/ZMUO.001453+1331662182.JPG	CreativeCommons - Attribution Non-Commercial	4004293|4004198	http://trace.boldsystems.org/traceIO/bold.org/5901859|http://trace.boldsystems.org/traceIO/bold.org/5901764	2012-04-24 02:48:18|2012-04-24 01:21:50	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFE554-13	ZMUO.005399	3061286	ZMUO.005399	 	University of Oulu, Zoological Museum	BOLD:AAO1424	20	Arthropoda	82	Insecta	413	Coleoptera	1752	Curculionidae	2556	Entiminae	71336	Polydrusus	511730	Polydrusus tereticollis	 	 	Mikko Pentinsaari	 	 	Sampsa Malmberg	2012-05-17	adult	 	S	 	 	61.4557	27.4031	 	 	Finland	 	Savonia australis	Aartamaniemi	1886025	http://v3.boldsystems.org/pics/COLFE/ZMUO.005399+1359395662.JPG	CreativeCommons - Attribution Non-Commercial	4984715|4984620	http://trace.boldsystems.org/traceIO/bold.org/6831317|http://trace.boldsystems.org/traceIO/bold.org/6831222	2013-04-02 23:00:48|2013-04-03 11:58:28	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
EUCAR1594-16	DZMB_Carabidae_0428	7191241	DZMB_Carabidae_0428	DZMB_Carabidae_0428	Deutsches Zentrum fuer Marine Biodiversitaetsforschung	BOLD:AAH9293	20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	2933	Harpalinae	6810	Poecilus	82103	Poecilus versicolor	 	 	Michael J. Raupach	Vouchered:Registered Collection	Leg muscle	Michael Raupach	2016-05-02	adult	U	S	 	 	53.2088	8.2416	 	 	Germany	North Rhine-Westphalia	 	Wahnbek	2893065	http://v3.boldsystems.org/pics/EUCAR/DZMB_Carabidae_0428+1462906208.jpg	CreativeCommons - Attribution Share-Alike	9354642|9354641	http://trace.boldsystems.org/traceIO/bold.org/11173391|http://trace.boldsystems.org/traceIO/bold.org/11173390	2016-06-09 23:51:27|2016-06-09 23:51:27	Deutsches Zentrum fuer Marine Biodiversitaetsforschung|Deutsches Zentrum fuer Marine Biodiversitaetsforschung	R|F	C1-N-2191|LCO1490	COI-5P|COI-5P
FBCOP308-13	BFB_Col_FK_10307	3395172	BFB_Col_FK_10307	12.08.29-we3	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAM0028	20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	305158	Trechinae	237014	Pogonus	237015	Pogonus chalceus	 	 	Frank Koehler	 	 	Weidlich, R.	2012-08-29	A	 	 	 	 	51.466	11.77	 	 	Germany	Saxony-Anhalt	Querfurter Platte	Teutschenthal-Bahnhof, Kalihalde	2061251	http://v3.boldsystems.org/pics/FBCOP/BFB_Col_FK_10307+1370894654.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	11315638|11313632	http://trace.boldsystems.org/traceIO/bold.org/13134670|http://trace.boldsystems.org/traceIO/bold.org/13132664	2013-07-17 03:11:48|2013-07-16 16:41:02	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	C_LepFolF|C_LepFolR	COI-5P|COI-5P
FBSYB858-12	BC ZSM HYM 11688	2457892	BC ZSM HYM 11688	BC ZSM HYM 11688	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAG3565	20	Arthropoda	82	Insecta	125	Hymenoptera	80410	Tenthredinidae	80411	Nematinae	80430	Pristiphora	250303	Pristiphora cincta	 	 	M. Kraus	 	 	Kohlbeck	2001-08-16	A	M	S	 	Pristiphora (Pristiphora) cincta	48.753	11.85	 	 	Germany	Bavaria	NiederBavaria	Kehlheim, Siegenburg, Bombenabwurfplatz Ost, Tor	1645692	http://v3.boldsystems.org/pics/FBSYB/BC_ZSM_HYM_11688+1338576340.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3902610|3902551	http://trace.boldsystems.org/traceIO/bold.org/5835556|http://trace.boldsystems.org/traceIO/bold.org/5835497	2012-03-10 12:18:11|2012-03-10 10:51:05	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
FINTI1081-12	JES-20120567	2467304	NVO.TIPU2179	 	Regional Museum of Lapland	BOLD:AAA7256	20	Arthropoda	82	Insecta	127	Diptera	669	Tipulidae	177980	Tipulinae	174827	Prionocera	177991	Prionocera subserricornis	 	 	Jukka E. Salmela	 	 	J. Penttinen, J. Jakovlev	2006-06-20	adult	M	S	in alcohol	 	67.21	23.779	 	 	Finland	Lapland	Lapponia kittilensis	Lahosaajo	1564813	http://v3.boldsystems.org/pics/FINTI/JES-20120567+1332781382.JPG	CreativeCommons - Attribution Non-Commercial	4666183|4666166	http://trace.boldsystems.org/traceIO/bold.org/6513430|http://trace.boldsystems.org/traceIO/bold.org/6513413	2012-11-29 12:29:03|2012-11-29 10:46:25	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
GBACU3733-13	BC ZSM HYM 15513	3230569	BC ZSM HYM 15513	BC ZSM HYM 15513	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAN3553	20	Arthropoda	82	Insecta	125	Hymenoptera	449	Vespidae	78210	Polistinae	5345	Polistes	732572	Polistes albellus	 	 	Christian Schmid-Egger	 	 	Neumeyer	2012-09-08	adult	F	S	 	 	47.372	8.53	 	 	Switzerland	 	 	Zuerich	1954084	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_15513+1365093910.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5146896|5146801	http://trace.boldsystems.org/traceIO/bold.org/6993498|http://trace.boldsystems.org/traceIO/bold.org/6993403	2013-05-03 23:40:02|2013-05-03 11:32:51	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
