processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
ANICJ763-10	10ANIC-06760	1651447	10ANIC-06760	 	Australian National Insect Collection	BOLD:AAB5648	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	484894	Boletobiinae	33871	Eublemma	77093	Eublemma anachoresis	 	 	ANIC Curators	 	 	E.D.Edwards	2001-05-18	A	 	S	 	 	-16.07	130.25	 	 	Australia	Northern Territory	 	Bullita	916491	http://v3.boldsystems.org/pics/ANICJ/10ANIC_06760+1287792298.jpg	CreativeCommons - Attribution	2571609|2571547	http://trace.boldsystems.org/traceIO/bold.org/2256677|http://trace.boldsystems.org/traceIO/bold.org/2256615	2010-11-27 02:52:49|2010-11-27 01:26:16	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
ASARD142-11	INB0004238426	2381083	INB0004238426	INB0004238426	Instituto Nacional de Biodiversidad, Costa Rica	BOLD:AAA1157	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	255317	Ethmia hammella	 	 	Eugenie Phillips-Rodriguez	 	 	E.Phillips,B.Espinoza,A.Barrientos	2007-08-07	A	F	S	 	 	10.204	-84.167	 	 	Costa Rica	Alajuela	Cordillera Volcanica Central	Rio La Paz	1494275	http://v3.boldsystems.org/pics/ASARD/INB0004238426-EPR000284+1327348798.JPG	CreativeCommons - Attribution Non-Commercial Share-Alike	3791717|3791650	http://trace.boldsystems.org/traceIO/bold.org/5666135|http://trace.boldsystems.org/traceIO/bold.org/5666068	2012-02-09 01:37:45|2012-02-09 00:11:24	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPAE710-06	06-SRNP-104469	317234	 	06-SRNP-104469	Area de Conservacion Guanacaste	BOLD:AAA1118	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	599151	Ethmia laphamorum	 	 	Daniel H. Janzen	 	 	H.Cambronero&F.Quesada	2006-05-26	A	 	S	light trap	light trap	10.856	-85.67	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	La Angostura	240440	http://v3.boldsystems.org/pics/BLPAE/06-SRNP-104469_DHJ604469+1197404880.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	539616|539615	http://trace.boldsystems.org/traceIO/bold.org/337125|http://trace.boldsystems.org/traceIO/bold.org/337124	2006-10-30 15:52:49|2006-10-30 19:49:57	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPAF804-07	06-SRNP-105503	528172	 	06-SRNP-105503	Area de Conservacion Guanacaste	BOLD:AAB3816	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	66552	Ethmia mnesicosma	 	 	Daniel H. Janzen	 	 	F.Quesada&H.Cambronero	2006-06-25	A	 	S	light trap	light trap	10.856	-85.67	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	La Angostura	237436	http://v3.boldsystems.org/pics/BLPAF/06-SRNP-105503_DHJ605503+1159370338.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	680341|680340	http://trace.boldsystems.org/traceIO/bold.org/475366|http://trace.boldsystems.org/traceIO/bold.org/475365	2007-05-03 18:35:42|2007-05-03 17:04:46	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPCF307-08	07-SRNP-109612	770027	 	07-SRNP-109612	Area de Conservacion Guanacaste	BOLD:AAA1183	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	66551	Ethmia scythropa	 	 	Daniel H. Janzen	 	 	H.Cambronero&R.Franco	2007-11-07	A	 	S	light trap	light trap	10.997	-85.457	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sendero Manta	393812	http://v3.boldsystems.org/pics/BLELA/07-SRNP-109612_DHJ619576+1199756248.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	981664|981758	http://trace.boldsystems.org/traceIO/bold.org/757250|http://trace.boldsystems.org/traceIO/bold.org/757344	2008-06-18 07:54:46|2008-06-18 09:25:25	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCJ344-08	07-SRNP-113409	773242	 	07-SRNP-113409	Area de Conservacion Guanacaste	BOLD:AAB3400	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	669339	Ethmia miriamschulmanae	 	 	Daniel H. Janzen	 	 	S.Rios& R.Franco	2007-12-10	A	 	S	light trap	light trap	10.767	-85.43	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	La Perla (Tajo)	384981	http://v3.boldsystems.org/pics/BLELA/07-SRNP-113409_DHJ623373+1203966232.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1014020|1014114	http://trace.boldsystems.org/traceIO/bold.org/787366|http://trace.boldsystems.org/traceIO/bold.org/787460	2008-07-04 21:59:38|2008-07-08 14:25:03	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPCJ938-08	07-SRNP-114003	774418	 	07-SRNP-114003	Area de Conservacion Guanacaste	BOLD:AAA1183	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	66551	Ethmia scythropa	 	 	Daniel H. Janzen	 	 	R.Franco&H.Cambronero	2007-12-11	A	 	S	light trap	light trap	10.901	-85.276	 	 	Costa Rica	Alajuela	Area De Conservacion Guanacaste	Estacion Caribe	385575	http://v3.boldsystems.org/pics/BLELA/07-SRNP-114003_DHJ623967+1204651900.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1015351|1015429	http://trace.boldsystems.org/traceIO/bold.org/788697|http://trace.boldsystems.org/traceIO/bold.org/788775	2008-06-25 04:23:39|2008-06-25 05:54:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCK141-08	08-SRNP-100234	867792	 	08-SRNP-100234	Research Collection of D. H. Janzen & W. Hallwachs	BOLD:AAA1183	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	66551	Ethmia scythropa	 	 	Daniel H. Janzen	 	 	H.Cambronero&R.Franco	2008-02-01	A	 	S	light trap	light trap	10.88	-85.389	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Estacion San Gerardo	382686	http://v3.boldsystems.org/pics/BLELA/08-SRNP-100234_DHJ624298+1213752552.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1069810|1069716|1069904	http://trace.boldsystems.org/traceIO/bold.org/838300|http://trace.boldsystems.org/traceIO/bold.org/838206|http://trace.boldsystems.org/traceIO/bold.org/838394	2008-09-04 18:20:17|2008-09-03 11:18:37|2008-09-04 19:51:26	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|R|F	LepR1|LepR1|LepF1	COI-5P|COI-5P|COI-5P
BLPDN1990-10	10-SRNP-102165	1339042	10-SRNP-102165	10-SRNP-102165	Area de Conservacion Guanacaste	BOLD:AAA1157	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	255317	Ethmia hammella	 	 	Daniel H. Janzen	 	 	F.Quesada	2010-01-13	A	 	S	light trap	light trap	10.864	-85.324	 	 	Costa Rica	Alajuela	Area De Conservacion Guanacaste	Albergue Oscar, Termales	1945297	http://v3.boldsystems.org/pics/BLPDN/10-SRNP-102165-DHJ647040+1364927516.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1958500|1958405	http://trace.boldsystems.org/traceIO/bold.org/1671029|http://trace.boldsystems.org/traceIO/bold.org/1670934	2010-03-09 08:20:17|2010-03-09 06:51:15	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPDU299-11	10-SRNP-109721	1799950	10-SRNP-109721	10-SRNP-109721	Area de Conservacion Guanacaste	BOLD:AAH6981	20	Arthropoda	82	Insecta	113	Lepidoptera	546510	Depressariidae	2485	Ethmiinae	6555	Ethmia	591529	Ethmia stephenrumseyi	 	 	Daniel H. Janzen	 	 	H.Cambronero&S.Rios	2010-07-08	A	 	S	light trap	light trap	10.927	-85.468	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Laboratorio	1190335|1197664	http://v3.boldsystems.org/pics/BLPDU/10-SRNP-109721_DHJ654596+1309192516.jpg|http://v3.boldsystems.org/pics/BLPDU/10-SRNP-109721_DHJ654596+1309874362.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	2808219|2808124	http://trace.boldsystems.org/traceIO/bold.org/2486823|http://trace.boldsystems.org/traceIO/bold.org/2486728	2011-03-20 15:09:16|2011-03-20 13:42:27	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
