processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
ABOLA702-14	TLMF Lep 16389	5310094	1784743	 	Tiroler Landesmuseum Ferdinandeum	BOLD:ABZ6181	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	4719	Noctua	22842	Noctua janthina	 	 	Peter Buchner	 	 	Buchner P.	2014-07-17	A	 	S	 	 	47.867	16.267	 	 	Austria	 	Niederoesterreich	Sollenau	2492491	http://v3.boldsystems.org/pics/ABOLA/TLMF_Lep_16389+1417526634.JPG	CreativeCommons - Attribution Non-Commercial Share-Alike	7509901|7509806	http://trace.boldsystems.org/traceIO/bold.org/9333650|http://trace.boldsystems.org/traceIO/bold.org/9333555	2015-02-27 02:15:54|2015-02-26 09:21:05	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BBLSW340-09	09BBLEP-01268	1215136	 	L#09ARZ-033	Centre for Biodiversity Genomics	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	J.Cossey, J.McCormick, J.Sones	2009-04-27	A	 	S	 	Light trap	32.6924	-114.498	 	 	United States	Arizona	Yuma Co	 	550672	http://v3.boldsystems.org/pics/BBLSW/IMG_7027+1252096938.JPG	CreativeCommons - Attribution	1633734|1633639	http://trace.boldsystems.org/traceIO/bold.org/1361848|http://trace.boldsystems.org/traceIO/bold.org/1361753	2009-10-02 21:49:08|2009-10-02 20:23:30	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPAC349-06	06-SRNP-102228	282593	 	06-SRNP-102228	Area de Conservacion Guanacaste	BOLD:AAB1969	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	202841	Mythimna sequax	 	 	Daniel H. Janzen	 	 	S.Rios&R.Franco	2006-03-01	A	 	S	light trap	light trap	10.989	-85.426	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Estacion Pitilla	126942	http://v3.boldsystems.org/pics/BLPAC/06-SRNP-102228_DHJ502228+1152741040.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	432283|432282	http://trace.boldsystems.org/traceIO/bold.org/238646|http://trace.boldsystems.org/traceIO/bold.org/238645	2006-08-15 19:43:41|2006-08-15 16:44:33	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPAC830-06	06-SRNP-102709	283074	 	06-SRNP-102709	Area de Conservacion Guanacaste	BOLD:AAB1969	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	202841	Mythimna sequax	 	 	Daniel H. Janzen	 	 	R.Franco, F.Quesada	2006-03-02	A	 	S	light trap	light trap	10.989	-85.426	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Estacion Pitilla	126585	http://v3.boldsystems.org/pics/BLPAC/06-SRNP-102709_DHJ502709+1153263666.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	431723|431722	http://trace.boldsystems.org/traceIO/bold.org/238086|http://trace.boldsystems.org/traceIO/bold.org/238085	2006-08-19 13:06:30|2006-08-18 06:10:21	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPEC682-11	11-SRNP-103239	2076419	11-SRNP-103239	11-SRNP-103239	Area de Conservacion Guanacaste	BOLD:AAB1969	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	202841	Mythimna sequax	 	 	Daniel H. Janzen	 	 	R.Franco&S.Rios	2011-05-04	A	 	S	light trap	light trap	10.8801	-85.3889	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Estacion San Gerardo	1803463	http://v3.boldsystems.org/pics/BLPEC/11-SRNP-103239_DHJ663909+1349455160.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3241123|3241028	http://trace.boldsystems.org/traceIO/bold.org/2903534|http://trace.boldsystems.org/traceIO/bold.org/2903439	2011-08-02 09:26:52|2011-08-02 10:59:02	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLTIB109-08	BL174	934425	 	genome.moth.2	University of Guelph	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	Ryan Gregory	2008-08-01	A	 	S	0.70	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	425380	http://v3.boldsystems.org/pics/BLTIB/IMG_8730+1239801982.JPG	CreativeCommons - Attribution	1167914|1167819	http://trace.boldsystems.org/traceIO/bold.org/922681|http://trace.boldsystems.org/traceIO/bold.org/922586	2008-11-19 14:24:15|2008-11-19 12:53:05	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLTIB291-08	BL478	936930	 	genome.moth.4	University of Guelph	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	Ryan Gregory	2008-07-15	A	 	S	0.71	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	425562	http://v3.boldsystems.org/pics/BLTIB/IMG_8922+1239805290.JPG	CreativeCommons - Attribution	1168490|1168395	http://trace.boldsystems.org/traceIO/bold.org/923241|http://trace.boldsystems.org/traceIO/bold.org/923146	2008-11-20 00:58:57|2008-11-19 23:27:16	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLTIB505-08	BL762	939762	 	genome.moth.6	University of Guelph	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	Ryan Gregory	2008-07-15	A	 	S	0.75	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	430333	http://v3.boldsystems.org/pics/BLTIB/IMG_9048+1239974836.JPG	CreativeCommons - Attribution	1175798|1175703	http://trace.boldsystems.org/traceIO/bold.org/930266|http://trace.boldsystems.org/traceIO/bold.org/930171	2008-11-21 09:32:54|2008-11-21 11:18:26	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLTIB509-08	BL767	939766	 	genome.moth.6	University of Guelph	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	Ryan Gregory	2008-07-15	A	 	S	0.77	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	430337	http://v3.boldsystems.org/pics/BLTIB/IMG_9056+1239974838.JPG	CreativeCommons - Attribution	1175802|1175707	http://trace.boldsystems.org/traceIO/bold.org/930270|http://trace.boldsystems.org/traceIO/bold.org/930175	2008-11-21 09:32:54|2008-11-21 11:18:26	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLTIB875-08	BL1294	940132	 	BL1294	University of Guelph	BOLD:AAA2482	20	Arthropoda	82	Insecta	113	Lepidoptera	561	Noctuidae	4476	Noctuinae	7171	Mythimna	23868	Mythimna unipuncta	 	 	 	 	 	Ryan Gregory	2008-07-15	A	 	S	0.69	head removed for genome size estimation	43.609	-80.36	Google Earth	0.8	Canada	Ontario	Ariss	5868 2nd Line E.	430584	http://v3.boldsystems.org/pics/BLTIB/IMG_0425+1241191906.JPG	CreativeCommons - Attribution	1164201|1164106	http://trace.boldsystems.org/traceIO/bold.org/918992|http://trace.boldsystems.org/traceIO/bold.org/918897	2008-11-13 15:59:49|2008-11-13 09:39:43	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
